14,164,494,658,,
15,6,34,40,,
,,,,,
File:,dump.comp380000,T,~,700,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,0,0,0,
,9,0,1,1,
10,73,35,108,,
11,1146,614,1760,,
12,5005,4245,9250,,
13,1804,2800,4604,,
14,160,473,633,,
15,4,23,27,,
16,0,1,1,,
,,,,,
File:,dump.comp390000,T,~,600,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,0,0,0,
,9,0,0,0,
10,74,26,100,,
11,1091,585,1676,,
12,5044,4198,9242,,
13,1825,2872,4697,,
14,155,487,642,,
15,3,24,27,,
,,,,,
File:,dump.comp400000,T,~,500,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,0,0,0,
,9,0,0,0,
10,67,27,94,,
11,1089,553,1642,,
12,5197,4374,9571,,
13,1697,2740,4437,,
14,139,467,606,,
15,3,30,33,,
16,0,1,1,,
,,,,,
File:,dump.comp410000,T,~,400,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,0,0,0,
,9,2,0,2,
10,74,28,102,,
11,1065,545,1610,,
12,5275,4279,9554,,
13,1629,2783,4412,,
14,146,520,666,,
15,1,37,38,,
,,,,,
File:,dump.comp420000,T,~,300,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,0,0,0,
,9,2,0,2,
10,69,23,92,,
11,1066,497,1563,,
12,5257,4333,9590,,
13,1681,2818,4499,,
14,114,489,603,,
15,3,31,34,,
16,0,1,1,,
