4500,q(1/Angstrom),S_NiNi,S_MnMn,S_NiMn,S_total,900,q(1/Angstrom),S_NiNi,S_MnMn,S_NiMn,S_total,800,q(1/Angstrom),S_NiNi,S_MnMn,S_NiMn,S_total,700,q(1/Angstrom),S_NiNi,S_MnMn,S_NiMn,S_total,300,q(1/Angstrom),S_NiNi,S_MnMn,S_NiMn,S_total
,2.966555,1.229641671,1.213168713,0.141869711,1.363274903,,2.966555,0.904658862,1.007608014,0.124902563,1.081036001,,2.966555,0.88929343,1.021302617,0.139809854,1.095107877,,2.966555,0.834322708,1.01078814,0.121614069,1.044169493,,2.966555,0.72713137,0.994786999,0.17043352,1.031392705
,3.013378,1.296406327,1.347875697,0.250872227,1.573013239,,3.013378,1.096358577,1.168439187,0.373258048,1.50565693,,3.013378,1.124529216,1.223330481,0.417491559,1.591421407,,3.013378,1.064536885,1.221946791,0.40548146,1.548723298,,3.013378,0.977487137,1.297742028,0.442410501,1.580025083
,3.060201,1.333712999,1.374703669,0.313837586,1.66804592,,3.060201,1.383239238,1.460829647,0.628493048,2.05052749,,3.060201,1.436900681,1.546246095,0.705108872,2.19668226,,3.060201,1.425220264,1.559634075,0.708240168,2.200667338,,3.060201,1.366826942,1.652898713,0.735134109,2.244996937
,3.107023,1.444918234,1.345818021,0.509653397,1.905021525,,3.107023,1.839979984,2.05201628,1.001852619,2.947850751,,3.107023,1.858161201,2.098617033,1.05370062,3.032089737,,3.107023,1.841223509,2.083881406,1.05738423,3.019936688,,3.107023,1.796917304,2.158048115,1.06730599,3.0447887
,3.153846,1.628525478,1.370219247,0.642332529,2.141704891,,3.153846,2.596599921,2.696322353,1.64260446,4.289065598,,3.153846,2.54011473,2.725027343,1.624435331,4.257006368,,3.153846,2.476877961,2.669565795,1.579597392,4.15281927,,3.153846,2.511151275,2.613057797,1.568467124,4.13057166
,3.200669,1.756230357,1.457687538,0.689633954,2.296592901,,3.200669,3.239581339,3.052096939,2.190592291,5.33643143,,3.200669,3.092260904,3.05495295,2.099727397,5.173334324,,3.200669,3.00368785,2.965097804,1.977844738,4.962237565,,3.200669,3.011754163,2.848710336,1.917154436,4.847386685
,3.247492,1.614646481,1.510630036,0.641334579,2.203972838,,3.247492,3.231479294,2.996467842,2.179413059,5.293386627,,3.247492,3.208331051,2.988576537,2.161281159,5.259734953,,3.247492,3.218614514,2.90569406,2.121274209,5.183428496,,3.247492,3.274420237,2.769826471,2.132631653,5.154755007
,3.294314,1.694516021,1.474761075,0.612956025,2.197594573,,3.294314,2.761047252,2.387614529,1.668199887,4.242530777,,3.294314,2.862482519,2.38370368,1.702239409,4.325332508,,3.294314,2.911564768,2.294865025,1.692837133,4.296052029,,3.294314,2.980467325,2.185199184,1.670987384,4.253820639
,3.341137,1.895388354,1.456174887,0.691865346,2.367646966,,3.341137,2.346407989,2.148146483,1.354049603,3.601326838,,3.341137,2.350193415,2.087544711,1.270166095,3.489035158,,3.341137,2.302071419,1.992063443,1.193787987,3.340855418,,3.341137,2.193446078,1.88067712,1.037609251,3.07467085
,3.38796,1.688380979,1.47384451,0.61277021,2.193882955,,3.38796,2.156229657,2.063798328,1.156486384,3.266500377,,3.38796,2.150132587,1.978511214,1.11207138,3.176393281,,3.38796,2.021100711,1.905517794,1.051149199,3.014458452,,3.38796,1.868240209,1.906909984,0.960293808,2.847868904
,3.434783,1.589380286,1.395641983,0.49588933,1.988400465,,3.434783,1.722893572,1.511551172,0.687269767,2.30449214,,3.434783,1.764977911,1.483022422,0.700942709,2.324942875,,3.434783,1.696194298,1.487910189,0.680407084,2.272459328,,3.434783,1.664671109,1.623373552,0.64107218,2.285094511
,3.481605,1.588477943,1.224709558,0.352022509,1.758616259,,3.481605,1.370870776,1.269818429,0.37376335,1.694107952,,3.481605,1.426605627,1.306356008,0.399458804,1.765939622,,3.481605,1.422119753,1.311996316,0.380609792,1.747667826,,3.481605,1.396189446,1.404610678,0.380855566,1.781255628
,3.528428,1.408340486,1.098715152,0.271598559,1.525126378,,3.528428,1.186557735,1.170347829,0.219270761,1.397723543,,3.528428,1.254090346,1.148988086,0.227733222,1.429272438,,3.528428,1.268353905,1.132482517,0.221290545,1.421708756,,3.528428,1.185135089,1.131428708,0.243158041,1.401439939
,3.575251,1.289106167,1.136765328,0.283885101,1.496820849,,3.575251,1.069664706,1.146034539,0.183273618,1.29112324,,3.575251,1.122664965,1.106576735,0.175135878,1.289756728,,3.575251,1.159065307,1.116030155,0.157104929,1.29465266,,3.575251,1.11603474,1.092413618,0.100937399,1.205161578
,3.622074,1.306176755,1.143568242,0.204868337,1.429740835,,3.622074,1.015120655,1.09218237,0.073969828,1.127621341,,3.622074,1.00551935,1.083038271,0.100532816,1.144811626,,3.622074,1.001286744,1.100740299,0.07939507,1.130408591,,3.622074,0.934631918,1.097008042,0.051427857,1.067247836
,3.668896,1.206640224,1.080646305,0.096391819,1.240035083,,3.668896,1.046912013,0.858037643,-0.064695368,0.88777946,,3.668896,1.012524893,0.838678525,-0.025271284,0.900330425,,3.668896,0.933993832,0.82655018,-0.046325174,0.833946832,,3.668896,0.793632513,0.792983704,-0.068366802,0.724941306
,3.715719,1.082570367,1.063055658,0.021927661,1.094740674,,3.715719,0.981800685,0.748411152,-0.01981457,0.845291348,,3.715719,0.986795077,0.738483031,-0.016974394,0.84566466,,3.715719,0.944723017,0.726751916,-0.043143644,0.792593822,,3.715719,0.962155071,0.692669296,-0.086790125,0.740622058
,3.762542,1.067384217,1.0462755,-0.016474237,1.040355621,,3.762542,0.865218557,0.701277106,-0.096580987,0.686666845,,3.762542,0.894960299,0.697502661,-0.108958067,0.687273414,,3.762542,0.90714692,0.68729087,-0.111413509,0.685805386,,3.762542,1.015349544,0.686669193,-0.103927492,0.747081876
,3.809365,1.055795999,0.968774384,-0.015363501,0.99692169,,3.809365,0.809739508,0.794124324,-0.147616596,0.65431532,,3.809365,0.861553612,0.749755253,-0.149724119,0.655930313,,3.809365,0.902854255,0.738409244,-0.150519226,0.670112524,,3.809365,1.068227359,0.714285365,-0.174893444,0.716362919
,3.856187,0.970200909,0.953167375,-0.046395862,0.91528828,,3.856187,0.806627031,0.76637637,-0.167971773,0.618529927,,3.856187,0.867122701,0.706680531,-0.184286419,0.602615198,,3.856187,0.908304172,0.68228926,-0.204546942,0.590749774,,3.856187,1.046592496,0.658876961,-0.274148011,0.578586717
,3.90301,0.986810408,0.96117262,-0.123901375,0.850090139,,3.90301,0.866982058,0.686131672,-0.212112622,0.564444243,,3.90301,0.899953177,0.665630249,-0.236084551,0.546707163,,3.90301,0.945040395,0.644286478,-0.265911585,0.528751852,,3.90301,0.925791667,0.624590114,-0.270263532,0.504927358
,3.949833,0.991266616,0.993346156,-0.079447551,0.912858835,,3.949833,0.894241444,0.707008272,-0.258350796,0.542274062,,3.949833,0.890115261,0.702507411,-0.274267826,0.52204351,,3.949833,0.921358081,0.712389914,-0.311363084,0.505510913,,3.949833,0.88546156,0.714945528,-0.336299211,0.463904333
,3.996656,0.972449421,0.971248345,-0.063777666,0.908071217,,3.996656,0.776893737,0.75043677,-0.286770017,0.476895236,,3.996656,0.777111256,0.746963934,-0.290889903,0.471147692,,3.996656,0.814546966,0.756757551,-0.31680888,0.468843378,,3.996656,0.78270071,0.786555213,-0.35088517,0.433742792
,4.043478,0.974070573,0.970000462,-0.085074894,0.886960623,,4.043478,0.721693401,0.764036634,-0.309714782,0.433150235,,4.043478,0.750018005,0.763038108,-0.328777387,0.42775067,,4.043478,0.779030327,0.790311419,-0.362175409,0.422495464,,4.043478,0.742677319,0.851912554,-0.377601684,0.419693253
,4.090301,0.919070787,0.929853735,-0.076105929,0.848356332,,4.090301,0.682608664,0.721554879,-0.248324162,0.45375761,,4.090301,0.698540295,0.707195389,-0.266370782,0.43649706,,4.090301,0.711785433,0.735908479,-0.294198494,0.429648462,,4.090301,0.750520753,0.730536584,-0.310772274,0.429756394
,4.137124,0.915072403,0.901428661,-0.199180994,0.709069538,,4.137124,0.669332241,0.701988432,-0.257589772,0.428070564,,4.137124,0.661766777,0.688130037,-0.250807777,0.42414063,,4.137124,0.664011137,0.684385624,-0.25973471,0.41446367,,4.137124,0.665620191,0.679611482,-0.253705549,0.418910288
,4.183946,0.953902266,0.915054608,-0.190002906,0.744475531,,4.183946,0.745792674,0.784320154,-0.304396501,0.460659913,,4.183946,0.761184151,0.774179708,-0.311281314,0.456400615,,4.183946,0.758049726,0.748846911,-0.314105545,0.439342773,,4.183946,0.726281151,0.779522436,-0.323540734,0.429361059
,4.230769,0.873135781,0.957619311,-0.123699268,0.791678278,,4.230769,0.818797368,0.884951965,-0.368772935,0.483101731,,4.230769,0.813113162,0.893786423,-0.39515071,0.458299083,,4.230769,0.783832296,0.877954245,-0.400730225,0.430163046,,4.230769,0.76708854,0.822312928,-0.389757432,0.404943302
,4.277592,0.81358943,1.035093149,-0.157069379,0.767271911,,4.277592,0.777647434,0.82926314,-0.386160816,0.417294471,,4.277592,0.768556993,0.849932484,-0.408160718,0.40108402,,4.277592,0.746602374,0.855276362,-0.425637014,0.375302354,,4.277592,0.733210276,0.837078881,-0.39624328,0.388901299
,4.324415,0.781225648,0.993751406,-0.17403622,0.713452308,,4.324415,0.724755711,0.830701065,-0.365471048,0.412257339,,4.324415,0.736183071,0.842459907,-0.393398958,0.395922531,,4.324415,0.744908565,0.870958035,-0.418097482,0.389835818,,4.324415,0.746355261,0.886287437,-0.403473953,0.412847396
,4.371237,0.814467056,0.893849151,-0.204761364,0.649396739,,4.371237,0.690536105,0.795545407,-0.33628379,0.406756966,,4.371237,0.702380423,0.815082624,-0.362529326,0.396202197,,4.371237,0.701484594,0.848335251,-0.381378034,0.393531888,,4.371237,0.697553972,0.815240522,-0.367517654,0.388879593
,4.41806,0.890250594,0.898953917,-0.215213023,0.679389233,,4.41806,0.705242307,0.746234402,-0.321043698,0.404694657,,4.41806,0.709132407,0.744963199,-0.312939695,0.414108107,,4.41806,0.69073607,0.75342855,-0.310498631,0.411583679,,4.41806,0.641131424,0.765699062,-0.277045537,0.426369706
,4.464883,0.844007889,0.867994997,-0.174888763,0.68111268,,4.464883,0.668553518,0.731684206,-0.30179568,0.398323183,,4.464883,0.654674972,0.70630133,-0.286254275,0.394233876,,4.464883,0.641986574,0.682242558,-0.274238477,0.387876089,,4.464883,0.618010247,0.726711257,-0.287346933,0.385013819
,4.511706,0.773478771,0.882594958,-0.16052711,0.667509755,,4.511706,0.626281983,0.790328879,-0.29288398,0.415421451,,4.511706,0.631487502,0.777780077,-0.309320272,0.395313518,,4.511706,0.599250218,0.749949714,-0.300154719,0.374445247,,4.511706,0.553363597,0.731342552,-0.299077918,0.343275157
,4.558528,0.764071843,1.006247878,-0.177775991,0.70738387,,4.558528,0.696243861,0.884907024,-0.306951452,0.483623991,,4.558528,0.718373912,0.889582316,-0.339816587,0.464161527,,4.558528,0.715761218,0.874698144,-0.337261423,0.457968257,,4.558528,0.676889132,0.808465716,-0.331155561,0.411521864
,4.605351,0.794703754,0.944336375,-0.167504007,0.702016058,,4.605351,0.720656819,0.902512003,-0.303605917,0.507978494,,4.605351,0.725518093,0.874949762,-0.315864129,0.484369799,,4.605351,0.742389959,0.885661649,-0.310374873,0.50365093,,4.605351,0.773162624,0.833354908,-0.342983068,0.460275698
,4.652174,0.851370776,0.857941289,-0.171291053,0.68336498,,4.652174,0.730281708,0.835863568,-0.300080811,0.482991827,,4.652174,0.728769123,0.783390092,-0.284162914,0.471916694,,4.652174,0.725728786,0.793402619,-0.283920346,0.475645356,,4.652174,0.752850287,0.766994818,-0.33473446,0.425188093
,4.698997,0.847452107,0.886087672,-0.189382753,0.677387137,,4.698997,0.765982997,0.813126678,-0.285984963,0.503569874,,4.698997,0.768422155,0.766231694,-0.266137713,0.501189212,,4.698997,0.740948054,0.743101226,-0.2608304,0.48119424,,4.698997,0.663811676,0.701029471,-0.264285385,0.418135189
,4.745819,0.850788416,0.889908449,-0.192055948,0.678292485,,4.745819,0.829796355,0.865514944,-0.280617186,0.567038463,,4.745819,0.835978511,0.832668135,-0.269688661,0.564634662,,4.745819,0.789153291,0.778522582,-0.265762459,0.518075477,,4.745819,0.669983134,0.759000508,-0.27040064,0.444091181
,4.792642,0.892026683,0.868531611,-0.147344765,0.732934381,,4.792642,0.858002596,0.825443882,-0.248701794,0.593021446,,4.792642,0.82122196,0.80876941,-0.244075409,0.570920276,,4.792642,0.796351569,0.75577463,-0.239238891,0.536824208,,4.792642,0.746721496,0.709304576,-0.244713291,0.483299745
,4.839465,0.968916385,0.946760782,-0.13127191,0.826566674,,4.839465,0.800741745,0.846578648,-0.191596044,0.632064152,,4.839465,0.767456588,0.815754066,-0.175672189,0.615933138,,4.839465,0.776191105,0.758002632,-0.170670641,0.596426227,,4.839465,0.807934985,0.647011414,-0.137559516,0.589913684
,4.886288,1.082431201,1.028138749,-0.167043892,0.888241083,,4.886288,0.702326867,0.85139668,-0.145371993,0.63148978,,4.886288,0.712807557,0.849250226,-0.149686912,0.631341979,,4.886288,0.724461469,0.819239006,-0.176777867,0.595072371,,4.886288,0.756504488,0.687129408,-0.136031346,0.585785602
,4.93311,0.981572063,0.987395942,-0.114465246,0.870018757,,4.93311,0.785875738,0.821466343,-0.124633455,0.679037586,,4.93311,0.817237133,0.851631897,-0.140677277,0.693757237,,4.93311,0.78529454,0.871565719,-0.173708462,0.654721667,,4.93311,0.762292943,0.808340611,-0.137666379,0.647650399
,4.979933,0.84322783,0.924662882,-0.05043802,0.833507336,,4.979933,0.901399274,0.885312506,-0.094443533,0.798912357,,4.979933,0.938229892,0.895702792,-0.062150612,0.85481573,,4.979933,0.919870784,0.878241795,-0.06671805,0.832338239,,4.979933,0.888273427,0.865573553,-0.10846234,0.76846115
